word,slope,mean,intercept,change,approachmid,approachstd
was-marry,-0.00440945401538,1.25039805441,9.62836068364,-0.356694171165,0.635973424379,0.592535042925
was-persuade,0.00113313441522,-0.181663922785,-2.3346193117,-0.184531593772,0.193472560136,0.179101152769
design,0.00304564779909,-1.02239068182,-6.8091215001,0.312260626122,0.397464132344,0.313975701088
cut,0.00357788695225,-0.491386016294,-7.28937122556,0.476543207224,0.517565662378,0.512832795462
recorded,-0.00188541590681,-0.172270329924,3.41001989302,-0.163464158475,0.000650205352422,0.000571943440708
wit,0.0026321633451,-0.0183217510946,-5.01943210679,0.301005668129,0.16000096965,0.150792500677
fears,0.000864543888394,0.32863964549,-1.31399374246,-0.097877016438,-0.0364600437222,-0.0362750539233
neck,0.00361221354989,0.326782524196,-6.5364232206,0.300771576332,-0.426572557018,-0.443949975047
appeal,0.000493493021292,-0.553404766079,-1.49104150653,0.00926170056238,0.111959243149,0.0968222961119
composed,0.00201339509971,-0.728940594326,-4.55439128378,0.112054552115,0.211482107188,0.170554280567
brother-in-law,0.0038223530021,-0.260345306581,-7.52281601057,0.536760437163,0.404624544966,0.382594632539
born,0.00716585943671,0.124046670874,-13.4910862589,0.720216165639,-0.0219586857549,-0.0214615756217
conscience,0.00314305656923,-0.369397423971,-6.34120490551,0.259949289085,0.316885556153,0.281005574944
clothes,0.00511877189963,0.098098653907,-9.62756795538,0.7274334005,-0.444518241425,-0.385756862649
approached,0.00173975800633,-0.622784420957,-3.92832463299,0.0721740992708,0.177180293077,0.174603913989
audience,0.00260879917429,-0.868406527281,-5.82512495843,0.146298805395,0.250794389483,0.216941837648
was-opposed,0.00341469847486,-1.37817882603,-7.86610592826,0.272496469933,0.443125832679,0.435585939351
grandmother,0.00119474492633,1.04385482235,-1.22616053768,0.176125287374,-0.322108013808,-0.292856316308
noticed,0.00513305042466,-0.17709350335,-9.9298893102,0.543176136116,0.404636870947,0.376736812628
pay,0.00066867356304,-0.810906248377,-2.08138601815,0.21063834964,0.0664000892886,0.0660807782786
carriage,0.00404050971854,0.312681970722,-7.36428649451,0.353836697224,-0.464609502316,-0.427718999656
refers,0.000493085396473,-0.485673455043,-1.42253570834,0.0291816207841,0.109065614181,0.100910173608
grave,0.00300791656762,-0.0997668316748,-5.81480831015,0.121812029662,0.414464214857,0.37089140975
free,0.000582152220256,0.153285853983,-0.952803364503,0.162544758491,-0.16018910322,-0.16679555935
division,-0.000300944559517,-1.71314095031,-1.14134628723,0.386266745766,-0.129794278509,-0.094172043537
library,0.00403034848845,-1.37868453404,-9.0363466621,0.497684451087,0.584378172668,0.503915234468
niece,0.00549482777048,0.840803667895,-9.59936909602,0.27668334805,-0.912176563651,-0.73170350953
was-killed,0.00571265381966,-1.21640011486,-12.0704423722,0.713053128193,0.942896181393,0.907023023573
standing,0.00132576242669,-0.267718693697,-2.7866673044,0.134783229596,0.157371956639,0.152697767564
ask,0.00292177530914,-0.0981542481219,-5.64952733549,0.339379731047,0.167707210094,0.167198824977
marched,0.00745109346278,-1.3425793419,-15.4996569212,0.779288480728,1.08804039439,0.984820393059
was-keep,0.00112785835586,-0.515136130596,-2.65806700672,0.238174838172,0.185583269764,0.172175586251
need,-0.00327654064869,0.191194415753,6.41662164827,-0.175411531802,0.426138690868,0.415803544594
admiration,-0.000408711983511,-0.213808275837,0.562744492834,-0.181039162913,0.0246604197787,0.0250359578412
kindness,0.00238916998675,0.207648233898,-4.33177474093,0.237845584045,-0.331206997861,-0.326150355458
essay,0.00142334800607,-1.02782933011,-3.73219054165,0.246876379506,0.377113782356,0.316485712069
widow,0.00218939684929,-0.488815510002,-4.64866952366,0.400686756731,0.284849126907,0.265289281568
intentions,0.00193027848898,-0.890491708032,-4.55802083709,-0.00834570919551,0.315626614726,0.303678192811
treatment,0.000318720394975,-0.603689439676,-1.20925819013,0.0103952801477,0.00370707382002,0.00354477190478
kind,0.000659246206095,0.190973317667,-1.06159447391,0.123668565311,-0.0937606135514,-0.0976612778175
fall,0.00534039072972,-0.622866155073,-10.7696085415,0.424331331805,0.730463061419,0.68466120304
enthusiasm,-0.00427917397375,-0.00179485598079,8.12863569414,-0.361406222262,0.145950767415,0.128928623611
states,0.00280455363234,-0.969305293897,-6.29795719535,0.342927347045,0.377140730345,0.348644003339
was-seized,0.00268440520842,-0.0692192556155,-5.16958915161,0.284661624219,0.125582753844,0.11621912035
resumed,0.002569254738,-0.4500708014,-5.3316548036,0.327907667779,0.519312454332,0.495904868733
resolution,-0.000500691055288,-0.549339783832,0.401973221215,-0.0984331237155,-0.168336152322,-0.146046267907
was-done,0.00485570300489,-0.274661328076,-9.50049703737,0.375295541402,0.797819322417,0.753284581966
was-summoned,-0.000481403633258,-0.599922813009,0.314744090182,-0.0958820768666,-0.0451580487334,-0.0417699174835
observes,0.0103358132814,-0.887515889864,-20.5255611245,0.782442128555,1.44989589337,1.13258582541
was-hear,0.00514466158451,-0.654020126592,-10.4288771372,0.416142388978,0.789712235094,0.694102402773
seized,0.00496499706888,-0.738879507454,-10.1723739383,0.45427822619,0.815053548408,0.799457282629
behalf,-0.00101937000511,-0.25896020966,1.67784280005,-0.12341495141,-0.173513129723,-0.18209730873
scheme,-0.00217710211432,-1.25054566738,2.88594834983,-0.276355803163,-0.37824430408,-0.363766365678
ministers,-0.00264606769997,-0.55511416929,4.47241446066,-0.166534432123,-0.592180968353,-0.460721286153
plays,0.00164163364212,-0.589249817431,-3.70835373745,0.219653707304,0.184190108749,0.149300446016
more,-0.00189574517402,0.773567657358,4.37548348801,-0.246860805815,0.338619550023,0.345831612067
order,-0.000210378220217,-1.0501842249,-0.650465606484,-0.0597304594707,-0.0703801067692,-0.0682742046399
busy,0.00136049618414,0.0745864350972,-2.51035631478,0.0831570330774,-0.129320146565,-0.144839046496
consider,0.0054228115713,-0.712175022625,-11.0155170081,0.527015280452,1.01034088835,0.893403009347
role,-0.0106076063921,0.795647770758,20.9500999157,-1.26172846191,1.46890791429,1.2302934489
was-deprived,0.00621138714931,-0.334891140402,-12.1365267241,0.445009485818,0.758603524061,0.54828841151
quitted,0.00782385579064,-0.403728638642,-15.2690546408,0.67920460871,0.906290087548,0.749346379193
philosophy,-0.000608887616057,-1.13635974543,0.0205267250777,-0.0676954455763,-0.100583668372,-0.0863662379952
exhibited,0.00532122650777,-0.727021684256,-10.837352049,0.585537076435,0.548920770867,0.458897245377
ministry,9.97505040831e-06,-1.58532975388,-1.60428234966,0.100689298132,-0.0695215369503,-0.0581439125614
pride,0.000104502310024,0.15137012337,-0.0471842656755,0.0141264507134,-0.0295065015402,-0.0274656706045
perceived,0.00293716615314,-0.496326593011,-6.07694228397,0.262054377878,0.37674258239,0.308277080452
young,0.00610578881431,0.372959203822,-11.2280395434,0.579397851968,-0.524298539255,-0.475013614345
president,-0.00218551101885,-1.07144599705,3.08102493877,0.0336959701639,-0.305224612257,-0.284741052744
servant,0.00117150974194,-0.421222653859,-2.64709116355,0.116070370493,0.0954406786153,0.0910415193796
created,0.00330820634789,-0.503882474136,-6.78947453514,0.415436607807,0.425524830685,0.404591797025
ceased,-0.000237051944991,-0.0104504362327,0.439948259249,-0.0876166414045,-0.0238135173205,-0.0234278326512
was-attacked,0.00306246879062,-1.0829196267,-6.90161032887,0.261898292679,0.380591789217,0.351083917977
experiences,-0.00749054208,0.223971315692,14.4560012677,-0.650022616374,0.868421614909,0.672094922395
was-enabled,0.00489451566813,-0.443153574694,-9.74273334413,0.366018694923,0.639485675904,0.533425374371
qualities,0.00168737439454,-0.230685706493,-3.43669705612,0.202310362141,0.188366873679,0.178910700194
knees,0.00473511308702,0.164615294068,-8.83209957126,0.427084968042,-0.150578165398,-0.142604512056
was-charged,0.00306834617066,-1.12859388953,-6.95845161378,0.210260007063,0.483821189197,0.444579888719
feels,-0.00109953514006,0.199657729521,2.28877449563,-0.17792386657,0.135016387768,0.132664280449
opposition,0.00214997473777,-1.41032860676,-5.49528060852,0.139534332476,0.306866294758,0.291082630126
argument,-0.000386220052277,-1.50108731124,-0.767269211913,0.142964886996,0.0864647694406,0.075684469418
abandoned,0.00317508755729,-0.796338826908,-6.82900518575,0.320561191318,0.511301944013,0.49377781714
secured,-0.00125836978192,-0.72900214728,1.66190043838,-0.197551420126,-0.0961222432844,-0.100895365788
task,-0.00359913649728,-0.330196893766,6.50816245107,-0.438230878074,-0.418506574302,-0.389995869173
was-mentioned,0.00373950487772,-0.498033164548,-7.60309243222,0.423433225309,0.567769824554,0.558562787691
table,0.00679456245589,-0.242369268076,-13.1520379343,0.584952625288,0.831045366665,0.820400337369
landed,0.0015061389345,-0.961094128577,-3.82275810412,0.174048911902,0.274926997029,0.260368137373
