,year,count,authgender,chargender,auth_char_gender
421,1877,190,u,u,u:u
422,1877,112,f,u,f:u
423,1877,96,u,f,u:f
424,1876,2216,m,m,m:m
425,1876,1829,u,m,u:m
426,1876,539,f,m,f:m
427,1876,303,u,u,u:u
428,1876,279,m,u,m:u
429,1876,258,f,f,f:f
430,1876,223,m,f,m:f
431,1876,213,u,f,u:f
432,1876,44,f,u,f:u
433,1875,2618,m,m,m:m
434,1875,908,u,m,u:m
435,1875,485,m,u,m:u
436,1875,352,f,m,f:m
437,1875,252,m,f,m:f
438,1875,145,f,f,f:f
439,1875,136,u,u,u:u
440,1875,100,u,f,u:f
441,1875,41,f,u,f:u
442,1874,2685,m,m,m:m
443,1874,952,u,m,u:m
444,1874,618,f,m,f:m
445,1874,474,f,f,f:f
446,1874,366,m,u,m:u
447,1874,224,m,f,m:f
448,1874,130,u,u,u:u
449,1874,107,f,u,f:u
450,1874,78,u,f,u:f
451,1873,1346,m,m,m:m
452,1873,772,u,m,u:m
453,1873,633,f,m,f:m
454,1873,212,m,f,m:f
455,1873,193,f,f,f:f
456,1873,186,m,u,m:u
457,1873,182,u,f,u:f
458,1873,132,f,u,f:u
459,1873,93,u,u,u:u
460,1872,2626,m,m,m:m
461,1872,1400,f,m,f:m
462,1872,574,u,m,u:m
463,1872,371,m,u,m:u
464,1872,309,f,f,f:f
465,1872,271,m,f,m:f
466,1872,180,f,u,f:u
467,1872,87,u,f,u:f
468,1872,40,u,u,u:u
469,1871,2047,m,m,m:m
470,1871,934,u,m,u:m
471,1871,318,f,m,f:m
472,1871,226,m,u,m:u
473,1871,202,u,u,u:u
474,1871,171,m,f,m:f
475,1871,166,f,f,f:f
476,1871,135,u,f,u:f
477,1871,27,f,u,f:u
478,1870,3575,m,m,m:m
479,1870,796,u,m,u:m
480,1870,514,f,m,f:m
481,1870,457,m,u,m:u
482,1870,273,f,f,f:f
483,1870,203,m,f,m:f
484,1870,98,u,u,u:u
485,1870,57,u,f,u:f
486,1870,35,f,u,f:u
487,1869,2256,m,m,m:m
488,1869,797,f,m,f:m
489,1869,588,u,m,u:m
490,1869,338,m,f,m:f
491,1869,311,m,u,m:u
492,1869,145,f,f,f:f
493,1869,144,u,f,u:f
494,1869,85,f,u,f:u
495,1869,72,u,u,u:u
496,1868,2302,m,m,m:m
497,1868,654,u,m,u:m
498,1868,595,f,m,f:m
499,1868,251,m,u,m:u
500,1868,186,f,f,f:f
501,1868,181,m,f,m:f
502,1868,124,u,f,u:f
503,1868,94,u,u,u:u
504,1868,73,f,u,f:u
505,1867,3721,m,m,m:m
506,1867,724,u,m,u:m
507,1867,427,m,u,m:u
508,1867,332,m,f,m:f
509,1867,228,u,f,u:f
510,1867,221,f,m,f:m
511,1867,126,f,f,f:f
512,1867,100,u,u,u:u
513,1867,21,f,u,f:u
514,1866,2364,m,m,m:m
515,1866,846,f,m,f:m
516,1866,799,u,m,u:m
517,1866,266,m,u,m:u
518,1866,262,f,f,f:f
519,1866,175,m,f,m:f
520,1866,101,f,u,f:u
521,1866,97,u,u,u:u
522,1866,63,u,f,u:f
523,1865,1689,m,m,m:m
524,1865,1536,u,m,u:m
525,1865,683,f,m,f:m
526,1865,263,m,u,m:u
527,1865,173,u,u,u:u
528,1865,140,f,f,f:f
529,1865,101,m,f,m:f
530,1865,93,u,f,u:f
531,1865,34,f,u,f:u
532,1864,1363,m,m,m:m
533,1864,881,u,m,u:m
534,1864,244,u,u,u:u
535,1864,194,m,u,m:u
536,1864,193,f,m,f:m
537,1864,86,m,f,m:f
538,1864,83,u,f,u:f
539,1864,72,f,f,f:f
540,1864,39,f,u,f:u
541,1863,3103,m,m,m:m
542,1863,2266,u,m,u:m
543,1863,303,m,u,m:u
544,1863,291,f,m,f:m
545,1863,265,u,u,u:u
546,1863,194,m,f,m:f
547,1863,158,u,f,u:f
548,1863,118,f,f,f:f
549,1863,42,f,u,f:u
550,1862,1277,m,m,m:m
551,1862,1080,u,m,u:m
552,1862,404,f,m,f:m
553,1862,239,u,f,u:f
554,1862,144,f,f,f:f
555,1862,142,m,u,m:u
556,1862,113,u,u,u:u
557,1862,101,m,f,m:f
558,1862,97,f,u,f:u
559,1861,1839,m,m,m:m
560,1861,1239,u,m,u:m
561,1861,355,u,f,u:f
562,1861,296,m,u,m:u
563,1861,161,u,u,u:u
564,1861,157,f,m,f:m
565,1861,126,m,f,m:f
566,1861,54,f,f,f:f
567,1861,27,f,u,f:u
568,1860,3042,m,m,m:m
569,1860,1178,u,m,u:m
570,1860,321,u,u,u:u
571,1860,313,f,m,f:m
572,1860,292,m,u,m:u
573,1860,249,u,f,u:f
574,1860,235,m,f,m:f
575,1860,71,f,f,f:f
576,1860,33,f,u,f:u
577,1859,3242,m,m,m:m
578,1859,1409,u,m,u:m
579,1859,539,m,u,m:u
580,1859,327,m,f,m:f
581,1859,183,u,u,u:u
582,1859,99,f,m,f:m
583,1859,94,u,f,u:f
584,1859,55,f,f,f:f
585,1859,35,f,u,f:u
586,1858,2761,m,m,m:m
587,1858,778,u,m,u:m
588,1858,339,m,u,m:u
589,1858,195,m,f,m:f
590,1858,154,u,u,u:u
591,1858,143,f,m,f:m
592,1858,119,f,f,f:f
593,1858,85,u,f,u:f
594,1858,23,f,u,f:u
595,1857,6768,m,m,m:m
596,1857,944,u,m,u:m
597,1857,517,m,u,m:u
598,1857,334,m,f,m:f
599,1857,272,f,m,f:m
600,1857,153,f,f,f:f
601,1857,147,u,u,u:u
602,1857,86,f,u,f:u
603,1857,82,u,f,u:f
604,1856,3893,m,m,m:m
605,1856,1238,u,m,u:m
606,1856,482,m,u,m:u
607,1856,214,u,u,u:u
608,1856,200,m,f,m:f
609,1856,189,f,m,f:m
